Order,Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name,,,,,
31,Unknown,SixMix_3,,,,,,G:A1,5,0,0,0,0,1,,,,,,,,,,,,
32,Unknown,PoolQC_6,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
33,Unknown,41,,,,,,Y:F8,5,0,0,0,0,1,,,,,,,,,,,,
34,Unknown,25,,,,,,Y:E4,5,0,0,0,0,1,,,,,,,,,,,,
35,Unknown,B11,,,,,,Y:A11,5,0,0,0,0,1,,,,,,,,,,,,
36,Unknown,A11,,,,,,Y:A2,5,0,0,0,0,1,,,,,,,,,,,,
37,Unknown,44,,,,,,Y:F11,5,0,0,0,0,1,,,,,,,,,,,,
38,Unknown,C20,,,,,,Y:B10,5,0,0,0,0,1,,,,,,,,,,,,
39,Unknown,45,,,,,,Y:F12,5,0,0,0,0,1,,,,,,,,,,,,
40,Unknown,C21,,,,,,Y:B11,5,0,0,0,0,1,,,,,,,,,,,,
41,Unknown,35,,,,,,Y:F2,5,0,0,0,0,1,,,,,,,,,,,,
42,Unknown,13,,,,,,Y:D4,5,0,0,0,0,1,,,,,,,,,,,,
43,Unknown,SixMix_4,,,,,,G:A1,5,0,0,0,0,1,,,,,,,,,,,,
44,Unknown,PoolQC_7,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
45,Unknown,9,,,,,,Y:C12,5,0,0,0,0,1,,,,,,,,,,,,
46,Unknown,46,,,,,,Y:G1,5,0,0,0,0,1,,,,,,,,,,,,
47,Unknown,11,,,,,,Y:D2,5,0,0,0,0,1,,,,,,,,,,,,
48,Unknown,53,,,,,,Y:G8,5,0,0,0,0,1,,,,,,,,,,,,
49,Unknown,38,,,,,,Y:F5,5,0,0,0,0,1,,,,,,,,,,,,
50,Unknown,B30,,,,,,Y:B4,5,0,0,0,0,1,,,,,,,,,,,,
51,Unknown,26,,,,,,Y:E5,5,0,0,0,0,1,,,,,,,,,,,,
52,Unknown,24,,,,,,Y:E3,5,0,0,0,0,1,,,,,,,,,,,,
53,Unknown,C12,,,,,,Y:B9,5,0,0,0,0,1,,,,,,,,,,,,
54,Unknown,B31,,,,,,Y:B5,5,0,0,0,0,1,,,,,,,,,,,,
55,Unknown,SixMix_5,,,,,,G:A1,5,0,0,0,0,1,,,,,,,,,,,,
56,Unknown,PoolQC_8,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
57,Unknown,B22,,,,,,Y:B3,5,0,0,0,0,1,,,,,,,,,,,,
58,Unknown,3,,,,,,Y:C6,5,0,0,0,0,1,,,,,,,,,,,,
59,Unknown,17,,,,,,Y:D8,5,0,0,0,0,1,,,,,,,,,,,,
60,Unknown,18,,,,,,Y:D9,5,0,0,0,0,1,,,,,,,,,,,,
61,Unknown,29,,,,,,Y:E8,5,0,0,0,0,1,,,,,,,,,,,,
62,Unknown,5,,,,,,Y:C8,5,0,0,0,0,1,,,,,,,,,,,,
63,Unknown,34,,,,,,Y:F1,5,0,0,0,0,1,,,,,,,,,,,,
64,Unknown,A21,,,,,,Y:A5,5,0,0,0,0,1,,,,,,,,,,,,
65,Unknown,B10,,,,,,Y:A10,5,0,0,0,0,1,,,,,,,,,,,,
66,Unknown,12,,,,,,Y:D3,5,0,0,0,0,1,,,,,,,,,,,,
67,Unknown,SixMix_6,,,,,,G:A1,5,0,0,0,0,1,,,,,,,,,,,,
68,Unknown,PoolQC_9,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
69,Unknown,39,,,,,,Y:F6,5,0,0,0,0,1,,,,,,,,,,,,
70,Unknown,33,,,,,,Y:E12,5,0,0,0,0,1,,,,,,,,,,,,
71,Unknown,6,,,,,,Y:C9,5,0,0,0,0,1,,,,,,,,,,,,
72,Unknown,23,,,,,,Y:E2,5,0,0,0,0,1,,,,,,,,,,,,
73,Unknown,20,,,,,,Y:D11,5,0,0,0,0,1,,,,,,,,,,,,
74,Unknown,49,,,,,,Y:G4,5,0,0,0,0,1,,,,,,,,,,,,
75,Unknown,7,,,,,,Y:C10,5,0,0,0,0,1,,,,,,,,,,,,
76,Unknown,A30,,,,,,Y:A7,5,0,0,0,0,1,,,,,,,,,,,,
77,Unknown,16,,,,,,Y:D7,5,0,0,0,0,1,,,,,,,,,,,,
78,Unknown,B20,,,,,,Y:B1,5,0,0,0,0,1,,,,,,,,,,,,
79,Unknown,SixMix_7,,,,,,G:A1,5,0,0,0,0,1,,,,,,,,,,,,
80,Unknown,PoolQC_10,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
81,Unknown,8,,,,,,Y:C11,5,0,0,0,0,1,,,,,,,,,,,,
82,Unknown,C30,,,,,,Y:C1,5,0,0,0,0,1,,,,,,,,,,,,
83,Unknown,52,,,,,,Y:G7,5,0,0,0,0,1,,,,,,,,,,,,
84,Unknown,19,,,,,,Y:D10,5,0,0,0,0,1,,,,,,,,,,,,
85,Unknown,27,,,,,,Y:E6,5,0,0,0,0,1,,,,,,,,,,,,
86,Unknown,36,,,,,,Y:F3,5,0,0,0,0,1,,,,,,,,,,,,
87,Unknown,40,,,,,,Y:F7,5,0,0,0,0,1,,,,,,,,,,,,
88,Unknown,15,,,,,,Y:D6,5,0,0,0,0,1,,,,,,,,,,,,
89,Unknown,50,,,,,,Y:G5,5,0,0,0,0,1,,,,,,,,,,,,
90,Unknown,C10,,,,,,Y:B7,5,0,0,0,0,1,,,,,,,,,,,,
91,Unknown,SixMix_8,,,,,,G:A1,5,0,0,0,0,1,,,,,,,,,,,,
92,Unknown,PoolQC_11,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
93,Unknown,48,,,,,,Y:G3,5,0,0,0,0,1,,,,,,,,,,,,
94,Unknown,1,,,,,,Y:C4,5,0,0,0,0,1,,,,,,,,,,,,
95,Unknown,C32,,,,,,Y:C3,5,0,0,0,0,1,,,,,,,,,,,,
96,Unknown,10,,,,,,Y:D1,5,0,0,0,0,1,,,,,,,,,,,,
97,Unknown,32,,,,,,Y:E11,5,0,0,0,0,1,,,,,,,,,,,,
98,Unknown,B12,,,,,,Y:A12,5,0,0,0,0,1,,,,,,,,,,,,
99,Unknown,2,,,,,,Y:C5,5,0,0,0,0,1,,,,,,,,,,,,
100,Unknown,43,,,,,,Y:F10,5,0,0,0,0,1,,,,,,,,,,,,
101,Unknown,C11,,,,,,Y:B8,5,0,0,0,0,1,,,,,,,,,,,,
102,Unknown,21,,,,,,Y:D12,5,0,0,0,0,1,,,,,,,,,,,,
103,Unknown,54,,,,,,Y:G9,5,0,0,0,0,1,,,,,,,,,,,,
104,Unknown,SixMix_9,,,,,,G:A1,5,0,0,0,0,1,,,,,,,,,,,,
105,Unknown,PoolQC_12,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
106,Unknown,Blank_4,,,,,,Y:G10,5,0,0,0,0,1,,,,,,,,,,,,
107,Unknown,Blank_5,,,,,,Y:G10,5,0,0,0,0,1,,,,,,,,,,,,
108,Unknown,Blank_6,,,,,,Y:G10,5,0,0,0,0,1,,,,,,,,,,,,
